PROD,,,,,,,,
source host,source ip,destination host,destination ip,port,description,,,
uch-wspheprd,172.16.92.170,imeddmzkailo09,103.255.222.167,"18,240",hl7 message ORM to IMED,,,
imeddmzkailo09,103.255.222.167,uch-boomi,100.0.0.0,"48,011",hl7 message ORU to UCH,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
TEST,,,,,,,,
source host,source ip,destination host,destination ip,port,description,,,
uch-wspheuat,122.1.11.11,imeddmzkailo09-uat,103.255.222.167,"11,111",hl7 message ORM to IMED,,,
imeddmzkailo09-uat,10.2.2.2,uch-boomi-uat,100.0.0.0,"22,222",hl7 message ORU to UCH,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
